"lemd_prc_wavelet.HHH_glcm_ClusterShade_227","sub"
-0.0236486911920783,1916742
0.116575145219544,1980052
-0.0434132862985071,1926770
-0.0473905400840932,1979045
-0.0946002351685113,2196212
0.670607924048361,2393207
0.174830773550915,2146138
-0.00538924117432922,2228399
0.790008259069693,2144796
-0.244972886388103,2234271
-0.032617677190336,2296332
-0.259715512967262,1684230
-1.42035635287214,1720713
0.461632359253931,2186951
0.131942627996927,2439458
-0.0304616509585436,2135748
0.0306838138237111,2141116
-0.0134256342232099,2108003
0.127991064394407,2006164
0.00103817038412133,308862
0.0656134652625597,1085983
-0.0494099487706648,2004451
-0.0166006693549048,2359944
0.330682310227907,2069079
0.0532162009222993,2059713
-0.0147609318419752,2294873
-0.213042983715762,2033049
-0.0366635057896621,1485662
-0.11221979944038,1526417
0.11590385577951,1386095
-0.0500448348905293,983079
0.396457619055011,2132424
-0.134873765737079,2138375
-0.0265571591409775,2490180
-0.0308428462397879,2034136
0.124513739665649,2510402
0.0795174613552232,1330263
-0.11622856659312,1768972
-0.0619372157465345,2306459
0.793793899521838,2181724
0.0550991052411095,2217034
0.0488275928611791,2218615
-0.333765950128472,92173
-0.363126445886135,2414406
-0.0124887730919943,2381907
0.542063490501446,2002465
-0.045234516520561,2474709
-0.103666750261331,2176530
-0.0214885566274359,1279943
-0.0383328368377256,1976407
-0.0563457509965953,2250836
0.00548718712151138,1915938
0.837619949243939,2133380
-1.01232296467419,2271329
-0.0204698735313647,2286108
-0.0308856648099176,2040495
0.00163873982804143,1125173
-1.43953655535158,1767700
-0.379008132365173,2138678
0.0233882532827714,2443354
-0.249187713307917,2234422
0.0646820615554018,2151024
-0.0665625915692457,2057358
-0.0722073974964277,2425694
0.0578811010774477,2500377
0.238565714521138,2183356
0.179726212462455,2131601
0.186506795864623,2152442
0.0563097019851828,2306893
-0.01293818529798,2009915
-0.360435441422999,58325
-0.0359485608597978,2395943
-0.283670513394142,2480330
-0.0856313848984762,2076301
-0.252291958324232,2205389
-0.164176878894618,1975401
0.0201016684431311,2250648
-0.0506874341034875,2185290
-0.023028235536209,2091555
0.0257060336973384,1232870
-0.594170126562941,2139733
-0.0489035996176852,2559453
-0.0263999856335132,1938156
-0.00391770279519677,2158101
-0.625309548379307,2199403
0.206636179764967,2430773
-0.0227906095968585,1738800
-0.056068685139799,1565177
0.117441821068311,1978972
-0.114591096402752,2487135
-0.00200136619496961,1612262
-0.310850523589376,2051378
0.0983347285945251,1497807
-0.113821809230239,2026671
0.269068359619293,2340322
-0.0364347251869075,2293123
-0.135802025729812,2395415
-0.0688501310891843,1966316
-0.444295392911968,1973544
-0.39387623373647,2010259
-0.000458470696636566,2145694
-0.321730593505812,965005
0.0453965457831426,2096627
-1.69895684555795,2047354
0.478069312911141,1364384
-0.0312522057024235,2244172
0.0367198955923096,2132982
0.223661349601719,2134220
-0.0290225632932923,1889409
-0.0607051750245538,1938561
-0.0339101476760416,2055667
-0.0594532296762633,2176784
-0.17071843645205,923666
1.04881736171914,2086044
-0.192115465088024,2078198
-0.0302157218136815,1501387
-0.0324614104993229,1518948
0.00499996218857669,1606693
0.103995228417647,2305115
-0.0796629169255061,2237571
-0.681300427557203,2285214
-0.00911910287322144,2426863
-0.010469225452543,1979422
-0.00929794212591539,2480056
-0.495180337623128,1668599
-0.122225138200135,2339674
-0.0808884158237974,2133204
-0.0751609595304563,2294852
0.184406490848819,2445526
0.525385037114709,2200416
-0.0081953337361474,2168082
-0.144184273249446,2075846
-0.0126918628395406,215131
-0.0734497562969527,2274521
0.0416347711287139,277752
12.4499293775508,2078899
-0.0227831901021139,2172217
-0.107180210457077,1614566
0.840580508850665,2100050
-0.125562772104283,2183291
-0.0116459958578695,2336735
-0.0159394714336712,2352038
0.00182181079006971,2305114
0.017322567699549,2448298
-0.634743636278361,1329352
-1.00187537782268,1183075
-0.0361306821076816,2110540
-0.0173412229782418,2070958
-0.0696188321289849,2340155
-0.0050837461228335,2075832
-0.00973905314192572,2498991
-0.0207848493986238,1919296
-0.027861299664504,2401405
-0.0195031017997797,1644034
-0.020958692964988,2405144
-0.0215274844000813,2158329
0.0119605586443825,2319068
-0.167723112272896,2504802
0.0363377715956768,2331869
-0.0289849242742271,2317120
-0.127966487381956,2072215
0.241349235625978,2228400
-0.121935285081237,2145166
0.00563321407428501,1692385
0.0250787632437322,2109902
-0.0547370299098929,2219842
0.165045795575814,2520618
0.0318648787032155,2419459
0.0174809876548758,2276121
0.0248627656672662,2350037
-0.0431405311084732,2001182
0.000695537577578819,2278618
-0.368759115589683,1740845
-0.119734603030686,2321962
-0.0956012588625211,2212664
0.115044482670129,2453577
-0.152857574710449,2224150
-0.0118856128714542,1967281
-0.587466365605775,1742294
-0.00573154753203529,2488660
-0.083012665310769,2085349
-0.182937897679688,2247869
-0.0401392898008396,2157529
-0.0628931858985296,2119177
-0.345942291656312,2010554
-0.0158711190826254,2493534
-0.044327768233459,2200813
-0.0234038173668515,2116787
0.0660544034593735,1154608
0.164785377413764,2267382
-0.220733316618053,1181124
1.0751006296873,2137799
0.159181521251051,1458656
-4.4932373049471,2269346
-0.0192450788774732,2092954
0.0652930092936596,2007309
-0.0685332151502946,1671370
