"letd_ctv_log.sigma.3.0.mm.3D_firstorder_Median_451","sub"
-0.787068407615856,1916742
2.26429411660311,1980052
-0.16833778615032,1926770
0.143261804560311,1979045
-0.82495455321632,2196212
-0.275211723726785,2393207
0.231735396998138,2146138
-0.0640666174487277,2228399
2.1074957970279,2144796
0.0581828286709286,2234271
0.380561338250064,2296332
1.28417045702314,1684230
-0.426754369544658,1720713
0.0110227051337447,2186951
0.412167572341504,2439458
-0.223174851365188,2135748
-1.1018575790456,2141116
-0.33079319030761,2108003
0.208341247292037,2006164
-0.448993562080134,308862
-1.0139342992233,1085983
-0.0475986603624041,2004451
0.163298885929663,2359944
2.53032481028364,2069079
-0.3782235748986,2059713
-0.101180119833464,2294873
-0.269920761105734,2033049
-0.67218949255237,1485662
0.502215499970552,1526417
0.173787317200524,1386095
1.54168878821276,983079
0.629681672991862,2132424
0.12423120892279,2138375
-0.158934810202648,2490180
-1.04390253292504,2034136
-0.289385797083729,2510402
0.000661980817846483,1330263
-0.0945346780974072,1768972
1.38496040083699,2306459
2.13287064179792,2181724
-0.530088769537854,2217034
2.85877763070547,2218615
-1.39129449918513,92173
-0.292970091274634,2414406
-1.12315524210372,2381907
0.523664566240442,2002465
0.276285758440507,2474709
-0.844960111301928,2176530
-1.4415114936445,1279943
-0.674312634127136,1976407
-0.609407376365996,2250836
1.26578528179237,1915938
-0.880764751883288,2133380
0.387694960532157,2271329
-1.05154752096698,2286108
2.07113019261909,2040495
-0.7052877570157,1125173
-0.240909119201232,1767700
-0.1523375140962,2138678
-0.479216537266803,2443354
-0.271213968855236,2234422
-0.714061665932479,2151024
0.189898189717747,2057358
-1.00547729075795,2425694
-0.384379437444631,2500377
0.146285350099768,2183356
0.117106624032622,2131601
3.87907852232731,2152442
-0.0205927815256208,2306893
-0.171595819733874,2009915
-0.66958403397752,58325
-0.686481912708354,2395943
-1.43045577775124,2480330
-0.174456208072655,2076301
-0.295752047962052,2205389
0.519331244399617,1975401
1.21550316969653,2250648
0.370364685632834,2185290
-0.847834217110598,2091555
0.767179135875745,1232870
1.50838126509113,2139733
0.0290321830715551,2559453
-0.670916403758705,1938156
0.517024342522343,2158101
1.86019746505131,2199403
0.0539593541772121,2430773
-0.893822814925291,1738800
-0.486886593312542,1565177
1.37831576601092,1978972
-0.796300748996914,2487135
-0.341837098417962,1612262
-0.0965896088807266,2051378
0.554515317402015,1497807
0.438620664038775,2026671
-0.346011835548075,2340322
-0.323717557957045,2293123
-1.00543288381131,2395415
0.600526616284524,1966316
0.877641025635085,1973544
-0.334099154344774,2010259
0.630352699342415,2145694
-0.566468414180547,965005
-0.750757457910605,2096627
2.99576297471351,2047354
3.05558771197989,1364384
1.65829675001021,2244172
-1.32509307500451,2132982
-0.696854256528157,2134220
0.372041552187222,1889409
-0.3185860407507,1938561
0.785880512235939,2055667
2.79772036532109,2176784
-0.93689351861567,923666
-0.217371447104296,2086044
-0.555183777922149,2078198
-0.67111899196106,1501387
-1.01955068864471,1518948
-0.937589828146018,1606693
-0.161743448713849,2305115
0.104418340943618,2237571
-0.369838489010665,2285214
-1.36575181713647,2426863
-0.145821769693091,1979422
-0.114739058805401,2480056
-0.761058040534992,1668599
-0.637633948640871,2339674
-0.83468309044935,2133204
-1.0956725870488,2294852
-1.0818261191492,2445526
1.55233279173036,2200416
-0.283307505485069,2168082
-0.634866462539335,2075846
-0.291398069225395,215131
-1.02289140360559,2274521
1.61329021545155,277752
-0.729692964943594,2078899
0.187965371313436,2172217
0.511337025712509,1614566
1.14307460592046,2100050
-0.430956003674551,2183291
0.825112691293477,2336735
0.273698697413507,2352038
-0.743215969523822,2305114
0.331797077645901,2448298
-0.627648437471927,1329352
0.942533588012328,1183075
-1.0942436570384,2110540
-0.118728690783015,2070958
-0.111482047307839,2340155
0.280909137526977,2075832
1.20341748699064,2498991
2.70078422363596,1919296
-0.36847040001377,2401405
-0.0450235416033073,1644034
-0.486833821398971,2405144
-0.180956674979888,2158329
-1.05716603525137,2319068
0.472015978967693,2504802
-1.91800003155104,2331869
-1.24520126621402,2317120
-0.256127818235696,2072215
-0.171240940718754,2228400
0.683803385600536,2145166
0.660508216853632,1692385
0.184749135667543,2109902
-1.31705668182175,2219842
-0.762620648634307,2520618
-0.425656756777567,2419459
-0.240115550119674,2276121
-1.04061900098569,2350037
-1.02644912356071,2001182
3.76872637232708,2278618
-1.02802464221993,1740845
-0.8728667168674,2321962
-0.0963507635226654,2212664
-0.960791449127682,2453577
0.744889914920674,2224150
0.645629011750412,1967281
1.25631108258928,1742294
-0.578977886015003,2488660
-0.242199314486759,2085349
-0.0628691630184478,2247869
0.231297513841693,2157529
0.28898533826942,2119177
-0.635423230434816,2010554
-0.63445687502666,2493534
-0.541586483828523,2200813
-0.782640946275795,2116787
-0.651243938118393,1154608
-0.905813174663961,2267382
0.177215823968694,1181124
-0.699846063607872,2137799
-0.662762309304894,1458656
0.238067811450736,2269346
-0.394459679846806,2092954
0.029832207433061,2007309
0.0111992570403115,1671370
