"lemd_ptv_wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis_249","lemd_ptv_wavelet.HLL_firstorder_TotalEnergy_242","sub"
-0.696326239553436,0.0461249380192134,1916742
2.42285202265941,-0.920686592082564,1980052
0.466209260058214,-0.773328538105933,1926770
0.224046887588644,-0.767190325363713,1979045
-0.757531429702794,1.57052339840658,2196212
-0.892064510025039,1.94960388355893,2393207
0.152045274016233,-0.527202305401476,2146138
1.63541175189703,-0.634861480703447,2228399
0.682543069088187,-0.0734192394528083,2144796
-0.569171939749447,0.629130387860831,2234271
-0.696419783743857,-0.182632364887295,2296332
0.468632771303188,-0.742355539640857,1684230
-0.875767895402327,1.37445742130053,1720713
-0.720120670485637,1.16101162186107,2186951
0.930080556505928,-0.685401456041828,2439458
-0.975192300902354,2.48103066720771,2135748
0.487712400351933,-0.762146000355827,2141116
-0.371467762636422,-0.0429778993038466,2108003
0.554375827756095,-0.83418567164338,2006164
0.786196134539394,-0.709421549870246,308862
0.627711731108627,-0.572056297888132,1085983
0.64039976000714,-0.65345432466182,2004451
-0.555804919762408,-0.00884810931280819,2359944
-0.344500249502119,-0.36605620989205,2069079
-0.28647062383895,-0.551936487969888,2059713
-0.195558330247146,-0.360458422578038,2294873
-0.537364605636817,-0.738242873990781,2033049
-0.558123216850915,-0.340862918349211,1485662
0.396675166016761,-0.322088158067902,1526417
1.30058021795713,-0.411441182807544,1386095
1.58784209072173,-0.836824472782923,983079
0.771643918387453,-0.855057324126435,2132424
-0.623156643393215,0.464987379310972,2138375
0.309842455019695,-0.651752937267299,2490180
-0.781640761563596,-0.282023240043692,2034136
-0.452977110270638,-0.333922590698474,2510402
-0.371022282096564,0.156875854065095,1330263
-0.942330452940266,0.898933399100482,1768972
5.63476982025799,-0.800189810254418,2306459
-0.0819091604956048,0.924048518868049,2181724
-0.184954301325803,-0.405943308628383,2217034
1.35794831302865,-0.626255720643145,2218615
-0.784943684259343,-0.559675760246487,92173
-0.938170629048723,2.28938308779291,2414406
-0.714465809005357,-0.749456493753398,2381907
2.39434028987444,-0.168039077804805,2002465
0.957035242643029,-0.468152156613301,2474709
0.139207370573037,-0.0566374899469123,2176530
-0.335508098046681,-0.697498045390296,1279943
-0.28502347356911,-0.76887820550963,1976407
-0.747146437976712,-0.380853807485701,2250836
1.98646913740087,-0.792069765240454,1915938
0.848154979596918,-0.833191784054761,2133380
-0.0824613908600946,0.946831608104155,2271329
-0.711244872417408,-0.575685463122676,2286108
1.7027817522394,-0.558173309966394,2040495
-0.738542922803225,0.0830232547295765,1125173
1.04143892270382,-0.323054918336403,1767700
-0.686637866294178,0.899601570256708,2138678
-0.438186692970713,-0.283581501807595,2443354
-0.131268552697953,0.970678900492101,2234422
-0.330086605719525,-0.652261863259661,2151024
-0.497294754966162,-0.484027064041761,2057358
-0.256164200144409,-0.674958698791307,2425694
-0.828326689523226,2.21552123889592,2500377
-0.592620733299571,0.722822097026935,2183356
-0.357459045368556,2.11919171245532,2131601
1.00614600091469,-0.864060219551656,2152442
0.113245797008986,-0.0519645825464644,2306893
-0.408253773892005,-0.813312610493947,2009915
-0.997503800758459,0.453182190269048,58325
-0.709887475691448,-0.618277595362638,2395943
-0.764403060205095,-0.38645400190062,2480330
-0.327308814223792,-0.807860805214751,2076301
-0.292569297899927,-0.0596275932783738,2205389
-0.0108391480596636,-0.85407405007337,1975401
1.30394371598976,-0.135287763710265,2250648
0.49584849986198,-0.707056819451557,2185290
-0.364042924989908,-0.517613242107859,2091555
1.54344202609916,-0.857784890126337,1232870
-0.548690912309457,0.774305391186834,2139733
-1.02979360691905,1.64506030791951,2559453
-0.94726853673155,1.46782550420307,1938156
0.854018766731317,-0.491777217015649,2158101
-0.519706189675245,0.819342862672227,2199403
1.08723502221536,-0.701515164754337,2430773
