"sub","letdfirst_prg_original_shape_Sphericity_500","letdfirst_prg_original_firstorder_90Percentile_500","letdfirst_prg_original_shape_Elongation_493","letdfirst_prg_original_shape_Flatness_500","letdfirst_prg_original_shape_LeastAxisLength_471","letdfirst_prg_original_shape_MajorAxisLength_497","letdfirst_prg_original_shape_MeshVolume_500.x","letdfirst_prg_original_shape_SurfaceVolumeRatio_500","letdfirst_prg_original_firstorder_10Percentile_463","letdfirst_prg_original_firstorder_InterquartileRange_478","letdfirst_prg_original_firstorder_Kurtosis_486","letdfirst_prg_original_firstorder_Maximum_496","letdfirst_prg_original_firstorder_Uniformity_499"
58325,-0.895396908231102,-0.0990477007303821,-1.84248405317439,-1.54412355332107,0.951250287815603,2.22137528244168,1.52738515863281,-0.251915358317022,-0.0697399581321951,-0.137555984236355,2.34522596487486,1.55729668174692,-0.342952456515108
92173,-0.929092306485123,-0.547382435200801,-0.552054608412394,0.614621571325355,1.81973036544289,0.913945642510748,1.86559306717182,-0.29796136641303,-0.33615668337673,-0.423583386543525,-0.272901451692148,-0.641128599988904,-0.20336434644619
215131,0.652163676616883,-0.753448012515028,-0.389788130112238,0.1011256981041,-0.177938433759192,-0.297094318307905,-0.110720519686773,-0.692049613801269,0.0088595446137457,-0.346639683148735,-0.607558124722623,-0.782861368608396,-0.142122299094662
277752,1.95511170392137,0.877209841565817,1.75436595694498,1.7297252413145,-1.58211430769172,-1.73307938261514,-1.1515918173791,-0.134187131278236,2.22220595026066,-1.19542074259813,-0.300062432170102,-0.529929306576533,1.5950871671528
308862,0.0112032239376817,0.544851429937129,0.832276555535681,0.654557482028563,-0.0628821129719227,-0.456415092255092,-0.299945091166732,-0.249715336380976,0.132217863262488,0.459013231595128,-0.707261563556229,-0.724358010256906,-0.35665779363135
923666,-0.520694442202713,1.55599497060417,0.65117852075589,-0.259160743059236,0.248871663302798,0.255537590224877,0.318831965330971,-0.188425246529102,-0.529729046149956,1.78110691030897,-0.0984760852654833,1.05973939953041,-0.688335027028096
965005,-0.141496521468349,0.554370388142925,-1.15087363171503,-1.27290418460219,-0.0619514580115743,0.746417574298158,0.160453964145834,-0.393053665386992,0.67497874746887,0.0576049120407915,-0.625723166531772,-0.49628034715384,-0.411736339225372
1085983,0.810057323802183,-0.7391830160518,1.02769013153375,1.31168292717136,0.199391858272318,-0.528549667278988,0.241617205750405,-0.883493588008831,-0.473866223639859,-0.347423787296221,-0.35518616861835,-0.868014030953949,-0.368441547865514
1125173,-0.881456786687424,0.515656777736948,0.903315011727641,-0.684619025977092,1.03168562723187,1.29146646628094,0.94422008176925,-0.101898225844604,0.47524266033745,-0.103814051106049,-0.54880680091115,-0.415345000222793,-0.529837208944879
1154608,-0.312041562575994,1.92865736648063,-1.09125817683295,-1.6945783928603,-1.76954006798221,-0.907560784312143,-1.17451116705867,1.75088930515183,1.62605813780985,0.0928879876150764,-0.165975197277716,0.132968503077646,0.882788080851166
1181124,-0.434977587296877,0.66078241358887,0.128547106063384,0.978025873237056,0.72341577855822,-0.0504348006327356,0.000139542657736784,-0.103970383034318,-1.65765532961475,2.34853796537886,0.836173219400172,2.59653248475928,-0.95599192540686
1183075,0.880293999150017,0.464994255710904,1.3884677017123,0.612247159021527,-1.10796240875122,-1.19096930683224,-0.858451065734776,-0.236949225246524,0.641892277434115,-0.147502201157107,-0.457452211970989,-0.357939287841576,0.012099120852695
1232870,0.271067050890239,0.286120266006925,-0.515882743954256,0.174462190666563,-1.23580217654652,-1.15872584376233,-1.07941477624295,0.645630178101319,0.906374703342069,-0.563634021438521,-0.420636166218402,-0.776559251290006,0.713649600755244
1279943,-0.697772043206785,0.346980982204053,0.060775931715488,-0.314533799260688,0.758220082979272,0.731756724473223,-0.0353211541402341,0.153425922093812,-0.616923786145454,0.488339886676124,-0.399365264210372,-0.228097869910197,-0.322600222125004
1329352,0.377364184726291,-0.520399748618335,-0.201139121923733,-0.906227840114157,-0.638003222841557,-0.142829591897687,-0.157996405989529,-0.541548722030418,-0.670063840218701,0.298127046836561,-0.17930295551279,-0.0475657994772515,-0.31926363588344
1330263,-0.249533600924757,0.854270483122854,0.300674203552877,-1.04583905399901,-0.271802972982328,0.32684194438432,0.334565380292528,-0.393082761067541,-0.471858532881505,0.705842192990776,-0.4428222335418,0.131017070460441,-0.799556660057384
