"mkm8d_ptvper_wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis_232","mkm8d_ptvper_original_gldm_LargeDependenceLowGrayLevelEmphasis_227","sub"
-0.207022925404061,-0.195947618205679,1085983
-0.263669071020153,-0.228955180775693,1125173
-0.0908494443828901,0.0414010634422028,1154608
-0.0638546579660719,0.207002149906725,1181124
-0.0492987859580461,0.0487216604555288,1183075
0.203074506407172,-0.118573623068758,1232870
0.144252626751584,-0.134759971989516,1279943
-0.198835604600132,-0.215969288389876,1329352
-0.221678899364539,-0.201787736901672,1330263
0.0507076298906037,-0.17775619748594,1364384
0.0656223042931626,0.0178180606876085,1386095
-0.264909081530126,-0.211994046397746,1458656
-0.218680490611899,-0.210403085345654,1485662
-0.222500390662723,-0.223486839133511,1497807
-0.239043105332174,-0.227262423499875,1501387
-0.0828640749552301,-0.197222552359178,1518948
-0.180760332141344,-0.16975954909859,1526417
8.56552083768638,6.43610543260141,1565177
-0.24789925516919,0.111016176871809,1606693
-0.220881346585941,-0.22411516988657,1612262
-0.123877091906728,-0.0938728090351237,1614566
-0.105426645883257,-0.20021300885788,1644034
-0.232721834965012,-0.225308158364897,1668599
-0.144309944047142,-0.205533642565964,1671370
-0.148765680046362,-0.211281888748621,1684230
0.0602916073887016,-0.164128059613142,1692385
-0.231924057559542,-0.212797438140539,1720713
-0.239844777842426,-0.22486181688587,1738800
-0.26710631909811,-0.227111518499813,1740845
-0.12099153606288,-0.205210780606827,1742294
0.236866998387474,0.641720644342413,1767700
-0.236770623256863,-0.207358459629251,1768972
0.425000601513594,1.20972297032359,1889409
-0.0935858746515651,0.0177796752183024,1915938
-0.257958485441553,-0.227623205958327,1916742
-0.0646110196277663,-0.192240377509188,1919296
-0.0569236550533618,-0.19015593255074,1926770
-0.241776716173647,-0.11584520099296,1938156
-0.198708638143002,-0.196604915530511,1938561
-0.139924404966435,-0.197546786531529,1966316
-0.182176276301204,-0.209561260073639,1967281
-0.00971151229672113,-0.148686153444264,1973544
-0.140699047564966,-0.200867678623717,1975401
-0.17238005009495,-0.207707879369757,1976407
-0.101437358473862,-0.205728774503503,1978972
-0.14545848095251,-0.210639199813593,1979045
-0.223191705761317,-0.215383132941096,1979422
0.16249671351015,-0.158131117194448,1980052
-0.257382768174627,-0.219878125611172,2001182
-0.0161789546983977,-0.135876177661364,2002465
-0.125607170241128,-0.180389547965559,2004451
-0.140603841649543,-0.207791520580306,2006164
-0.239674877715465,-0.221284400737316,2007309
-0.194300220815995,-0.209587430117395,2009915
-0.229382811220916,-0.201858640932773,2010259
-0.0678004612095482,-0.135028044698451,2010554
-0.147744139597772,0.0256372077847159,2026671
-0.192706825997731,-0.09739488313928,2033049
-0.266230003729849,-0.230172962453793,2034136
-0.128415864859529,-0.177495305996633,2040495
2.10839209197726,-0.155721404932257,2047354
-0.203939560555325,-0.222002678029802,2051378
0.372185742183212,-0.215324833274626,2055667
-0.234199809093539,-0.22242020359078,2057358
-0.224903409123312,-0.207346735265908,2059713
-0.115624329925066,-0.194732753736485,2069079
-0.197766767159709,-0.218128906422077,2070958
-0.18989959000895,-0.218016721252799,2072215
-0.221057254016352,-0.184167728086293,2075832
-0.244248399525794,-0.227273088702671,2075846
-0.189110348572853,-0.220612354583564,2076301
-0.235134333958984,-0.191689669802863,2078198
-0.261037661978716,-0.215373399475329,2078899
-0.202978214463115,-0.173121096571246,2085349
-0.174671828256084,-0.14953540730197,2086044
-0.222264210169491,-0.209035127270016,2091555
-0.21914813161068,-0.154570396752624,2092954
-0.238021025939838,-0.10123194441684,2096627
-0.121948482667972,-0.204415459507187,2100050
0.595946116298391,1.27791935093051,2108003
-0.218002698737512,-0.200119847958362,2109902
-0.206440157681322,-0.175401060000058,2110540
-0.245654837438028,-0.228653351372094,2116787
-0.0247998684910633,1.18285025773266,2119177
-0.188660495542762,-0.193184036040576,2131601
-0.166075286853624,-0.21085546652568,2132424
-0.26603226466409,-0.227680607903148,2132982
-0.239942939643528,-0.215117185158467,2133204
-0.197232946448593,-0.216337510707781,2133380
-0.220514930910588,-0.22110775733358,2134220
0.808446302857714,1.43074118590481,2135748
-0.178414510422891,-0.170002333480427,2137799
-0.243051897782686,-0.227583942576676,2138375
-0.244987320005975,-0.22168033125873,2138678
-0.116429809304233,-0.126204803690456,2139733
-0.185491529026971,-0.21137327218874,2141116
-0.106795806374388,-0.201959572537208,2144796
-0.085738309430865,-0.193165206409244,2145166
-0.220713130501224,-0.215702530514444,2145694
-0.191492165553088,-0.210741545433488,2146138
-0.238715198327184,-0.218127555825858,2151024
-0.208600182005425,-0.221360713626399,215131
-0.0376588093831347,-0.184787091133949,2152442
-0.0872271512417195,-0.191658139279018,2157529
-0.0765452701077161,-0.123700583109377,2158101
-0.226176058860979,-0.217836585198782,2158329
-0.0800614736322324,-0.149618136431878,2168082
-0.165117654393807,-0.209872016501335,2172217
-0.190726178148859,-0.219721956752379,2176530
0.043460708059781,-0.180514063289818,2176784
-0.127099957774767,0.327829106539264,2181724
0.37179553959399,-0.164101973860839,2183291
-0.238436727133245,-0.227574205546309,2183356
-0.180335454301062,-0.216229790245787,2185290
0.572227785360385,0.308283306576385,2186951
-0.256537616117409,-0.17035246112434,2196212
-0.109950508573526,0.457090550851323,2199403
-0.152979689606024,-0.213729082555025,2200416
-0.203999833871868,-0.213436365395024,2200813
-0.232914078860951,-0.216486822247338,2205389
-0.220664920733186,-0.222175076512685,2212664
-0.219885707334637,-0.211565372073479,2217034
-0.121077137395936,-0.207163882813684,2218615
-0.0350762246947346,-0.0619251681764159,2219842
-0.143547353346306,0.426665546579821,2224150
0.0134486114743209,-0.177437621750993,2228399
-0.183731835886644,-0.197904374956112,2228400
-0.218923952643513,-0.222209043717589,2234271
-0.219208140753001,-0.217833405637253,2234422
-0.231359551700765,-0.223777083256922,2237571
-0.21880109976518,-0.107880872683121,2244172
-0.202666843150908,-0.209809580336764,2247869
-0.135235082609639,-0.180639219776111,2250648
-0.242808565924384,-0.226219992844051,2250836
-0.219065499349116,-0.212799575223198,2267382
-0.136572189423784,-0.190479171852605,2269346
-0.204570143542345,-0.219713597568577,2271329
-0.240698204131053,-0.227373499494642,2274521
-0.253906053494618,-0.163276902828871,2276121
-0.158928727589601,-0.204161966514672,2278618
-0.229021561726574,-0.140611084627017,2285214
-0.260725659730046,-0.230578607662579,2286108
3.06295254181425,9.67172248787833,2293123
-0.26964306106442,-0.23212629761198,2294852
2.19043494422805,3.99985038878344,2294873
0.179265814951942,-0.185366514432024,2296332
-0.201673759484915,-0.220135000129946,2305114
-0.236154363675558,-0.225473975242217,2305115
-0.0683690498582764,-0.196834313141375,2306459
-0.216986532921477,-0.223842357575181,2306893
-0.274818250843684,-0.219327504872922,2317120
-0.257460451637346,-0.212402598526436,2319068
-0.256078010568096,-0.22533106337468,2321962
