"mkm8d_ptv_lbp.3D.m2_firstorder_Maximum_250","mkm8d_ptv_wavelet.HHL_firstorder_Median_250","mkm8d_ptv_log.sigma.4.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis_248","mkm8d_ptv_wavelet.HHL_glcm_Imc2_247","mkm8d_ptv_wavelet.LLH_gldm_SmallDependenceLowGrayLevelEmphasis_246","mkm8d_ptv_log.sigma.2.0.mm.3D_glcm_Correlation_245","mkm8d_ptv_original_glszm_LargeAreaLowGrayLevelEmphasis_244","mkm8d_ptv_logarithm_glszm_LargeAreaHighGrayLevelEmphasis_240","mkm8d_ptv_gradient_glcm_Idmn_240","mkm8d_ptv_wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis_238","mkm8d_ptv_logarithm_gldm_SmallDependenceLowGrayLevelEmphasis_237","mkm8d_ptv_wavelet.HHH_glcm_Idmn_236","mkm8d_ptv_wavelet.HHH_glszm_SmallAreaEmphasis_236","mkm8d_ptv_lbp.3D.k_glcm_Idmn_235","mkm8d_ptv_wavelet.LHH_firstorder_Kurtosis_234","mkm8d_ptv_wavelet.LLH_glcm_Idmn_230","mkm8d_ptv_log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis_226","sub"
-0.233067733926556,-0.129244057985855,-0.356511349038194,-0.0750874536355228,-0.273472693513322,-0.020853975826701,-0.108243246704719,-0.363596553055804,-2.14075795983873,0.147229139303552,0.140317176457313,-1.36977978758253,0.686188566806381,0.131340537232842,-0.77222029408051,-0.102076979037024,-0.665773236802175,1085983
-0.0292902231580257,0.163966021223294,-0.531660386326148,-0.647929579106633,-0.492488764912593,0.856627169568022,-0.328823971910633,-0.0101580355718684,0.643621263868607,-0.446590166866052,-0.772059447722154,-0.159616064885968,-2.05618041068656,0.0444536373887061,-0.56827506844748,0.299629772261631,0.733452697218668,1125173
-0.233067733926556,0.694084979428287,0.345102453197191,0.00776090460644448,0.882219488412735,0.0415839358390085,-0.296853610979094,-0.409159943084429,-2.36291686259782,1.6777010010046,0.399758751490741,-1.71922914944376,-0.748517462294928,1.20293564355314,-0.611519987296751,-3.20887217435373,-0.638490470142157,1154608
-0.233067733926556,-0.258393495763835,-0.374891840227532,0.355554529790649,-0.56569103023438,-0.414488998403616,-0.389189144091528,-0.268598250175068,0.832574449980387,-0.841377962057913,-0.75394219270092,1.02888144685678,-0.0350977477012435,1.14030091904345,-0.0351215268227522,1.03925338046572,0.25946851452151,1181124
-0.233067733926556,-1.02751061349218,0.94400940291781,0.838740117101165,4.83593680508271,-3.08080416240219,-0.028582062698301,-0.413558389471372,-2.41938740610449,0.317087458568003,0.793688600879165,0.0183072732655624,0.194384488604683,-1.60713914584278,-0.727840373278692,-2.74738350666595,-1.10295343701952,1183075
-0.233067733926556,-1.18889428402895,0.247163541107684,-0.370476351899609,2.96738159973344,-1.53099789117359,-0.0672153831982302,-0.398906601398864,-2.87581659037306,1.83681152421586,1.89294730330283,-2.78812868479411,0.479599451466207,-1.45517417024134,-0.805749172238989,-2.18034981985911,-1.06827741510454,1232870
-0.0292902231580257,0.668840416579487,-0.287691042173977,-0.208866688704341,-0.484845819012529,-0.741072357787019,-0.272578367032595,-0.305103358130387,0.957355416534883,0.656510893461336,-0.481162829271852,-1.52242672490882,-0.213700466726336,0.16001664066719,-0.379151165580373,0.318352741571219,0.955212738577275,1279943
-0.233067733926556,0.0680236058341908,-0.411639195662619,0.560744271574803,-0.200663456199848,1.13078508403144,-0.336807205066657,-0.362710092443875,-0.144877557330961,-0.147244474367019,-0.502570424291321,0.30971238817427,1.42450586970648,0.779448767439873,0.275445816177246,-0.552802838875844,0.342543159554886,1329352
-0.233067733926556,0.646064193538173,-0.603361749198819,-0.403255278190968,-0.733790860567192,1.11401432664074,-0.364578272038327,-0.384940422128821,-0.161729401702679,-0.409948981699784,-0.599654750983324,1.0039664477393,-0.767620411375362,0.231648316253521,0.965346747503118,0.429554124873063,0.596919151569578,1330263
-10.0603075451886,-0.704487026130707,6.43156687780797,2.11586210157774,2.8353693611113,-0.0869424199319189,-0.123350385403375,-0.415847602832762,-1.28008925707309,0.838850862682694,3.58204867048357,-1.09855364192772,-0.482738404189027,-0.37154406466572,-0.337677880374713,-2.77771645633905,-1.4691606617284,1364384
-0.233067733926556,2.15509631814355,-0.097437143957897,0.994246019008951,0.973000761106779,0.267394937414917,-0.227617544541672,-0.293401302116211,-1.46901889246528,-0.16688785608895,0.221298021552199,0.221430968247876,0.542710348561373,-0.245745429450032,-0.574074787002929,-2.6653535450983,0.318752514019729,1386095
-0.148125933598165,1.41862515869654,-0.555302644726836,0.547280661215751,-0.723865418818177,0.343023741430195,-0.372591531893601,0.417126379575409,1.06080669712583,-0.499569913061027,-0.839599074489193,0.726516869158513,-0.238445164469456,0.231868227198961,-0.540535530695347,0.426342106405629,0.901672544220111,1458656
-0.233067733926556,-0.990178030901006,-0.335111273920351,-0.48496968124454,-0.753419870013485,0.307106692979624,-0.167757142082744,0.781610311122754,0.606840308698796,-0.727539248524003,-0.77121077375226,-0.660850478919604,0.0249180925188482,0.228500088371525,-0.198757998342502,0.947735331201099,-0.225448984997221,1485662
