"mkm10d_gtvper_log.sigma.4.0.mm.3D_glcm_Idmn_239","sub"
-0.185259351618245,1085983
-0.618705887625303,1125173
0.824929122089433,1154608
0.337797357892898,1181124
-0.369103095893078,1183075
-1.49591659417293,1232870
0.279936640709166,1279943
0.995799151097421,1329352
0.640374853103197,1330263
-1.25845800584055,1364384
0.348808534204725,1386095
0.76545345721226,1458656
0.846158136747224,1485662
0.221736345629539,1497807
0.542716471262052,1501387
-0.478622411273346,1518948
-0.197933123592238,1526417
1.14245726336635,1565177
0.492332100560028,1606693
-3.11448746953002,1612262
0.62775060086114,1614566
-0.656806896904187,1644034
0.535278753521531,1668599
0.0931352306048541,1671370
-1.85093821817946,1684230
-1.71202534029396,1692385
0.600053705599257,1720713
-0.303012797468359,1738800
1.02689953186387,1740845
-0.596425892010985,1742294
-0.22200305529343,1767700
0.66568837628245,1768972
1.46844276514181,1889409
-1.26367970813527,1915938
0.659159654717912,1916742
-2.73237629261953,1919296
-1.78958655012562,1926770
1.36550527360885,1938156
0.0561868719535634,1938561
-0.231237140597857,1966316
-1.9600504317458,1967281
-1.50337122228352,1973544
-1.1244790233632,1975401
-1.07243342250827,1976407
-0.0210037258795923,1978972
-2.07570623711491,1980052
0.471423286429171,2001182
-1.66601396040378,2002465
-1.38688996718927,2004451
-0.415454692604836,2006164
-0.975704462660355,2007309
-0.116162043719983,2009915
0.589908326433344,2010259
0.916711781976144,2010554
0.559122811181363,2026671
-0.609021812990656,2033049
0.760696191832825,2034136
-0.208615776855336,2040495
-1.68038527980224,2047354
-0.60202378916418,2051378
-1.17344717638444,2055667
-0.463225062465643,2057358
-0.535848693894881,2059713
-0.913820575410522,2069079
0.576741521128153,2070958
-1.79181182587283,2072215
0.222539175616317,2075832
0.213817015945913,2075846
-1.47127346439451,2076301
1.04547850181327,2078198
-0.103089255922884,2078899
0.76557557302443,2085349
0.524551618188676,2086044
0.364805474783653,2091555
0.422477904495531,2092954
0.336620237343822,2096627
-0.201962341354322,2100050
0.0811775952270215,2108003
0.355048712025042,2109902
1.18695277114212,2110540
-0.450153464856758,2116787
1.35829880563167,2119177
1.11517541448004,2131601
-0.0565199318968486,2132424
1.19015461313701,2132982
0.651648342813805,2133204
-0.984872997755321,2133380
-0.33758745521968,2134220
1.22112845981424,2135748
0.720194634765372,2137799
0.204616382694343,2138375
1.23051901936483,2138678
0.835849332062303,2139733
0.280803442068417,2141116
-1.08326496009223,2145166
-0.0644831997049506,2145694
-0.140620649629405,2146138
0.536581571144591,2151024
-0.66456669741494,215131
-1.41673690914214,2152442
-2.46429100048757,2157529
-1.24860883554358,2158101
1.15874042703261,2158329
-1.68688870719126,2168082
0.102692649045522,2172217
-0.232079238497574,2176530
-1.37277758041065,2176784
-0.429052764474833,2181724
1.2148423543028,2183291
0.739480528069697,2183356
0.253990604036946,2185290
1.11990220704313,2186951
1.10872594557725,2196212
0.866465056120673,2199403
-0.94363538436438,2200416
0.0498251892875409,2200813
0.209406365423347,2205389
-0.296723045891155,2212664
-1.17620595490559,2217034
-1.20095071696046,2218615
0.705171617633259,2219842
1.18788214882467,2224150
-1.52089391377365,2228399
-1.96673311711272,2228400
-1.11716727835465,2234271
-1.00300340461407,2234422
0.273569167010424,2237571
-1.17115495521063,2247869
0.0163386177224383,2250648
-0.182637431537695,2250836
-1.17328716191676,2267382
0.744455387958395,2269346
-0.11334652201318,2271329
0.744812693397893,2274521
-0.529775421504243,2276121
-1.11044138716062,2278618
-0.0113096116505734,2285214
1.12596214727395,2286108
1.23475382314793,2293123
0.665870334089064,2294852
0.573199878844367,2294873
0.638451272336861,2296332
0.603664728460333,2305114
0.936445037514636,2305115
-1.57323029901996,2306459
0.653239049161689,2306893
0.590711439870181,2317120
1.16359615943756,2319068
0.0169380151629677,2321962
1.42252673364459,2331869
-0.798874323646016,2336735
0.953651375845619,2339674
-0.402481984525027,2340155
1.31810027493927,2340322
0.30468136622449,2350037
0.27624712508288,2352038
-0.588881095769774,2359944
0.216512640696958,2381907
1.27625739059364,2393207
1.12972177792024,2395415
-0.255511004692923,2395943
0.448244224092046,2401405
0.720975987151929,2405144
1.47037012701403,2414406
-1.01827284307642,2419459
0.0790225079050528,2425694
1.67034618266541,2426863
-0.204537371043936,2430773
-0.698005207905633,2439458
1.28833949256026,2443354
1.24604747949318,2445526
0.528359803134449,2448298
0.331718631648752,2453577
0.451178251860928,2474709
0.16637383465715,2480056
1.27049541745059,2480330
1.17817053614925,2487135
1.15693812755124,2488660
0.520335772651084,2490180
1.18348384701083,2493534
0.621711008214129,2498991
0.630990785562421,2500377
-1.61516207055058,2504802
0.947552110503313,2510402
1.30602104214056,2520618
0.787423125221757,2559453
-2.75500129583305,277752
-1.28156229453127,308862
0.656499615582829,58325
1.14712611061592,92173
0.362822051735621,923666
-0.552934750856639,965005
