"mkm10d_ptv_log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis_250","mkm10d_ptv_wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis_250","mkm10d_ptv_gradient_firstorder_Minimum_248","sub"
-0.175028070380285,-0.517853650305879,-0.0878017576587474,1085983
-0.623680410866744,0.0336692580981936,-0.677809816890307,1125173
-0.234229193561158,-0.680354475154276,2.97335681075551,1154608
-0.270288120596647,0.949867759765585,0.17692342607175,1181124
0.0954027566611637,-0.651026823754155,1.05543764013439,1183075
0.956651002394709,-0.684947000872732,0.601880675512159,1232870
0.138946633664947,-0.302030799891301,-0.972460267469982,1279943
-0.823395436820123,-0.484012052595327,0.233072085639244,1329352
-0.728272885453813,0.249890089391334,-0.0895393681100428,1330263
1.58621696668947,-0.707603368401145,6.37127230911958,1364384
0.160535788241986,-0.665812020394937,0.499686367765947,1386095
-0.594932254776273,0.0502700728156889,-0.829685419194293,1458656
-0.439026037365977,-0.287704635191787,-0.788393637619558,1485662
-0.480475574483313,-0.107061879985179,-0.469535046940147,1497807
-0.522137821407423,-0.424252638155761,-0.59276978283789,1501387
2.94687623240236,-0.696173668050495,0.787992489067052,1518948
0.0498911245940792,-0.571056457069492,0.951294950509284,1526417
-0.707063553132641,0.0013054426523705,-0.105817249321187,1565177
-0.761500471016804,2.15298024956734,-0.658877874600191,1606693
0.301129745336277,-0.467087021913005,-0.576398153993605,1612262
-0.407369391268897,-0.213882011775408,-0.563141222746686,1614566
-0.0261564870139953,-0.467774961815269,-0.849492178646749,1644034
-0.463870856489435,-0.311414304406331,0.23998947786731,1668599
-0.104001129007978,-0.663162642055072,1.85855110867316,1671370
0.582510043598686,-0.678462832200578,0.55419553683288,1684230
1.55158220575944,-0.653685526057283,1.18734711843946,1692385
-0.561221210412844,6.47899966066151,-0.260692775885669,1720713
-0.416190633014679,-0.270136945867847,-0.721243423248118,1738800
-0.709423960450161,0.0465067724543907,-0.400006902635498,1740845
-0.10029937332291,-0.691564707572563,0.214720311314716,1742294
-0.020505786168427,-0.650896754155181,0.920949008838555,1767700
