"letd_prp_lbp.3D.m2_firstorder_Range_238","letd_prp_wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis_228","sub"
0.544456094643397,-0.162289388039208,1916742
-1.21219912278358,1.88368302513485,1980052
0.055426053552451,0.19974764722001,1926770
-0.0728651772523511,0.706833595762204,1979045
0.544456094643397,-0.568650100064492,2196212
0.405212017257701,-0.118269912599179,2393207
-0.65917764854203,-0.134185852416069,2146138
0.536425548369515,1.25739585370644,2228399
-2.21917017861649,0.114104093887549,2144796
0.544456094643397,-0.202416314022265,2234271
0.524781477188417,-0.544969345531512,2296332
0.173079319653102,-0.0646852852313346,1684230
0.482122423541134,-0.438739348145035,1720713
0.544456094643397,-0.315323305860412,2186951
-1.1432338184619,0.203187043840971,2439458
-0.107339892154459,-0.352003209820871,2135748
-0.221264645630101,-0.24610297112275,2141116
0.544456094643397,-0.352225031008984,2108003
-0.519006508276516,0.253059216716126,2006164
0.416918281476438,-0.313602670152619,308862
0.197734002181778,1.89150490976364,1085983
0.22127688056806,0.0380827815297147,2004451
0.47477866708503,-0.238587135727984,2359944
-0.887792488396165,-0.0119134881495375,2069079
0.07558522961289,-0.41997227861113,2059713
-0.112175469854726,-0.198046071823883,2294873
0.544456094643397,-0.265196381991152,2033049
0.360883802278899,-0.473912768584948,1485662
0.544456094643397,-0.200127484085685,1526417
-0.189285181151844,0.208002940794646,1386095
0.839512917052794,0.22231401949148,983079
0.544456094643397,-0.15464907465963,2132424
0.325159938567325,-0.399936963740774,2138375
0.544456094643397,-0.345431952726704,2490180
0.557834116996548,-0.584740107940796,2034136
0.351141455962441,-0.491439260987095,2510402
-0.0698674033198299,-0.410767152877778,1330263
1.27593700993154,-0.276527767382237,1768972
-0.0790408221595903,0.542959844507414,2306459
-0.440902020162665,0.258710462130975,2181724
-0.579806037185951,0.15658656216807,2217034
0.199311772045717,0.0624861278869955,2218615
0.254605910108967,-0.55224216943068,92173
0.462109373487072,-0.568436785262549,2414406
0.839266096509605,-0.430611506904252,2381907
-0.330162372825426,0.403571251210956,2002465
-0.249146813798539,-0.113178321810699,2474709
-1.1369623192373,-0.180554873731684,2176530
0.386484118283835,-0.48025362941372,1279943
0.0148801957991348,-0.302660835043386,1976407
0.544456094643397,-0.480363741083822,2250836
-0.0194405929228755,0.448588293523476,1915938
0.544456094643397,-0.262509533942548,2133380
0.268965059714835,-0.336922871999051,2271329
0.544456094643397,-0.163270166209235,2286108
-0.651019333020578,0.0522948435684892,2040495
0.461031485339605,-0.375071034206217,1125173
0.439048547974507,-0.206481110385236,1767700
0.639750795023347,-0.540487886804124,2138678
-0.00425641491621117,-0.267574992986182,2443354
0.172623171958133,-0.38056219033321,2234422
0.544456094643397,0.00450459226277269,2151024
0.0911102038753781,-0.310902997108555,2057358
0.544456094643397,-0.0589764284121587,2425694
-0.0275145176389781,-0.48414177247187,2500377
0.199535508877192,-0.275246633351189,2183356
0.0938738082151097,-0.379221954754293,2131601
-0.64340693101759,0.445744285153283,2152442
0.544456094643397,-0.107493081940559,2306893
-0.249322293484437,-0.174909397684914,2009915
0.0322168032112874,-0.583406195106413,58325
-0.285264196756748,-0.361730233408,2395943
0.225449719968553,-0.491971405406894,2480330
0.0601005005506708,-0.20992267258032,2076301
0.544456094643397,-0.091545432829244,2205389
0.203963272581061,-0.0524993306183114,1975401
0.29660035046107,0.0286011523919184,2250648
-0.353858453330223,0.21373216557808,2185290
-0.0710122301206116,-0.0155936253520933,2091555
-5.80428039701237,7.01783806246947,1232870
0.177965805793988,-0.309939431399086,2139733
0.178407045310665,-0.452471201466981,2559453
0.544456094643397,-0.374739042815165,1938156
-1.08014037507701,0.102621145050784,2158101
0.12306972945317,-0.249418885656964,2199403
0.690702957646173,-0.131290226278082,2430773
0.297978021453298,-0.0760538006637016,1738800
0.793757674558886,-0.52293267937933,1565177
-0.0410307570215767,-0.075394405762991,1978972
