"letd_ctv_wavelet.HLL_glcm_MaximumProbability_461","sub"
-0.846263633640387,1916742
2.34946650444633,1980052
0.677190287829507,1926770
0.111122746752135,1979045
-0.700495704470203,2196212
-0.368391889035399,2393207
-0.843237015366689,2146138
0.8506173755149,2228399
0.312362214316881,2144796
-1.07353922196719,2234271
1.56590519361096,2296332
-0.466307255917629,1684230
-0.0923459825698872,1720713
0.0625957375121885,2186951
-0.0305411801639917,2439458
1.71247667719234,2135748
-0.365686543192648,2141116
-0.877976268511724,2108003
1.09108582229011,2006164
1.24183077474819,308862
-0.745582496537646,1085983
0.320027614482871,2004451
2.66443993336541,2359944
1.1673730471244,2069079
-0.75943131452262,2059713
-0.15796391041715,2294873
-1.02076389597813,2033049
-0.0699719945494944,1485662
-0.823848790033452,1526417
-0.127075134516403,1386095
1.30494801710567,983079
-0.410287847799125,2132424
-0.0955292470690915,2138375
0.0542906991278402,2490180
0.573175828011409,2034136
-0.0739978051672924,2510402
-0.425888395741095,1330263
5.04120373179172,1768972
0.348877341060135,2306459
0.294591917124727,2181724
-0.245345694406048,2217034
0.418301953526721,2218615
-1.05230870025869,92173
-0.383269198524412,2414406
-0.207372530545933,2381907
-0.106704910887203,2002465
-0.011937321851008,2474709
0.0906374315993567,2176530
-0.546302337078276,1279943
-0.391475212624429,1976407
-0.932891326392955,2250836
-0.206435775088282,1915938
-0.387431453883631,2133380
-0.961515975863401,2271329
-0.499562199004857,2286108
-0.667927225680173,2040495
-1.07647527051777,1125173
-0.71246879183438,1767700
-0.625118890001837,2138678
-0.731321908763332,2443354
-0.98005769066752,2234422
-0.247795468374325,2151024
-0.114890849808149,2057358
-0.815271122617424,2425694
-1.02923852704264,2500377
-0.86004012852624,2183356
-0.488209974840246,2131601
0.756781416236339,2152442
-0.798023898634263,2306893
-0.722849667359717,2009915
-0.145927529383527,58325
-0.737803193045417,2395943
-0.00695241727784602,2480330
-0.856227026907153,2076301
-0.250449585762112,2205389
-0.812671051268503,1975401
0.294812998802209,2250648
0.5389716876058,2185290
0.576673133507213,2091555
0.815847683264354,1232870
0.0312164264549896,2139733
-0.435228168497899,2559453
1.86884599045148,1938156
-0.261575854275109,2158101
-0.0193145260465838,2199403
-0.0582078574628207,2430773
-0.100350892230861,1738800
-0.709979588405615,1565177
0.499945047091473,1978972
0.328093746724369,2487135
0.181467104020132,1612262
-0.306410666441254,2051378
0.0524961512464821,1497807
0.396596777695517,2026671
-0.694445892327588,2340322
-0.906871138865658,2293123
-0.556846759980167,2395415
0.309666546723247,1966316
2.36365820642998,1973544
-0.824332279297329,2010259
0.00185038558526979,2145694
-1.04666584954469,965005
-1.03498637953771,2096627
1.24042198716789,2047354
1.97489504906617,1364384
-0.784598691578908,2244172
-1.02483682738575,2132982
2.4481400727931,2134220
0.0673660967884176,1889409
-0.163228913819694,1938561
0.0278711406553884,2055667
1.88031805151414,2176784
1.61788242794586,923666
-0.47948338097706,2086044
0.86522797616395,2078198
0.00859493589198074,1501387
0.198595181306813,1518948
1.82215072842785,1606693
-0.651144234638543,2305115
1.1329935808217,2237571
-0.621211442402135,2285214
-0.563534465806089,2426863
1.05033919887846,1979422
-0.536731219063073,2480056
-0.891375792795161,1668599
-0.710113039045252,2339674
-0.721596168626973,2133204
-0.0906934214469018,2294852
-0.480181883544411,2445526
-0.337956998623361,2200416
1.29198932603681,2168082
-0.270805596182965,2075846
-0.455267000127101,215131
1.19644394802066,2274521
1.90390533865666,277752
-1.28352359556001,2078899
0.377357627343102,2172217
-0.0604771601825944,1614566
-0.700181898662572,2100050
-0.252836462275739,2183291
2.89128070437471,2336735
-0.474328209016675,2352038
0.195326759866381,2305114
-0.221951663909059,2448298
-0.34309011412587,1329352
-0.429289477433492,1183075
-0.414557579677715,2110540
0.243323869963789,2070958
0.354466917240088,2340155
0.265848306508524,2075832
0.566363382365776,2498991
0.337323863456243,1919296
-0.429823430930627,2401405
-0.433654077192653,1644034
-0.690752776533344,2405144
-0.222336500177875,2158329
-0.776802954484389,2319068
0.733286555526284,2504802
-0.0620627646457761,2331869
-0.539616943331269,2317120
-0.467768874289943,2072215
-0.253248525512014,2228400
0.278258895596567,2145166
0.623395718682635,1692385
-0.55972475580557,2109902
6.40028518668176,2219842
-0.471906417566749,2520618
-0.529978855648147,2419459
0.15322512044651,2276121
-0.605379086819927,2350037
-0.80613719431357,2001182
0.335200892547293,2278618
-0.883229112878429,1740845
-1.05799415092426,2321962
-0.597124151781854,2212664
0.0222523587674567,2453577
0.896443760162711,2224150
0.536068064886684,1967281
-0.311316125564059,1742294
-0.527667823296698,2488660
-0.793008722132304,2085349
-0.87126534694958,2247869
1.30775122758076,2157529
-0.473310503752526,2119177
-0.546254706420971,2010554
-0.426010504311828,2493534
-0.00469430703331513,2200813
-0.808296063865556,2116787
0.610598606359921,1154608
-0.596343484207668,2267382
-0.572957666489848,1181124
-0.386178625486591,2137799
-1.01028583191807,1458656
-0.605002006433902,2269346
0.0633399086871426,2092954
-0.479114153324187,2007309
-0.483121001819993,1671370
